FROTA;ANO;MES;LAT;LON;EFF;LAGE;BRANCA;BANDOLIM
BRA-ESP;1999;12;5;30;4230;1695;450;1356
BRA-ESP;2000;6;10;30;83116;1954,9;34811,91;1655,45
BRA-ESP;2000;6;15;25;161887;5220,6;41875,54;5763
BRA-ESP;2000;6;15;30;113106;2384,3;30769,9;4644,3
BRA-ESP;2000;6;20;25;6200;293,8;706,25;62,15
BRA-ESP;2000;7;5;30;8260;910,78;1096,1;548,05
BRA-ESP;2000;7;10;30;34350;1078,02;19523,01;418,1
BRA-ESP;2000;7;10;35;30055;3412,6;5016,07;192,1
BRA-ESP;2000;7;15;25;46180;1513,07;9481,83;282,5
BRA-ESP;2000;7;15;30;128920;4298,52;44378,49;5034,15
BRA-ESP;2000;7;15;35;53677;2021,57;9583,53;186,45
BRA-ESP;2000;8;0;30;11496;1700,65;1841,9;519,8
BRA-ESP;2000;8;10;35;72479;21488,08;26491,72;214,7
BRA-ESP;2000;10;10;35;28100;8994,8;96,05;3333,5
BRA-ESP;2000;11;0;30;2090;1186,5;16,95;915,3
BRA-ESP;2000;11;5;25;23900;1690,48;7052,33;4649,95
BRA-ESP;2000;11;5;30;31160;11141,8;16113,8;10785,85
BRA-ESP;2000;12;5;25;16870;17294,65;265,55;14277,55
BRA-ESP;2000;12;10;25;43749;305,1;51270,36;9994,85
BRA-ESP;2000;12;15;25;26910;870,1;35758,85;10893,2
BRA-ESP;2000;12;20;25;92840;2971,9;27498,55;9989,2
BRA-ESP;2001;1;15;25;126808;2243,05;50947,18;3723,35
BRA-ESP;2001;1;20;25;137270;13424,4;38009,81;2084,85
BRA-ESP;2001;2;15;25;95506;1214,75;42112,84;8152,95
BRA-ESP;2001;2;20;25;61400;943,55;17737,61;807,95
BRA-ESP;2001;4;10;30;9520;2013,66;339;344,65
BRA-ESP;2001;4;15;25;60619;7098,66;7062,5;3825,05
BRA-ESP;2001;4;15;30;64945;9963,21;12701,2;3084,9
BRA-ESP;2001;4;20;25;3100;683,65;113;435,05
BRA-ESP;2001;5;10;25;9125;514,15;276,85;62,15
BRA-ESP;2001;5;15;20;2200;322,05;197,75;387,59
BRA-ESP;2001;5;15;25;127730;49652,2;5952,84;12897,82
BRA-ESP;2001;5;15;30;62660;12234,51;2183,16;4842,05
BRA-ESP;2001;5;20;20;2200;1246,39;531,1;1270,12
BRA-ESP;2001;5;20;25;27000;8699,87;4350,5;8105,49
BRA-ESP;2001;6;10;30;27685;3678,15;875,75;791
BRA-ESP;2001;6;15;25;259255;89680,19;6978,88;21820,3
BRA-ESP;2001;6;15;30;5690;542,4;367,25;461,04
BRA-ESP;2001;6;15;35;3000;485,9;378,55;169,5
